|User|Date Created|Number of Likes|Source of Tweet|Tweet|gender|text_clean
110|adi0w0|2022-07-05 23:56:31+00:00|0|Twitter for iPhone|¿Por qué sentir pena por un hombre?|male|sentir pena hombre
111|LUCIDO_99|2022-07-05 23:56:28+00:00|0|Twitter Web App|@ClaudiaVmm180 @RoyerAtamirano jajjaja en serio vizcarra solo fue encargado estas soñando ese hombre fue muy corrupto en moquegua ademas su gestion fue un fiasco. mejor que se quede castillo|male|jajjaja serio vizcarra solo encargado soñando hombre corrupto moquegua ademas gestion fiasco mejor quede castillo
112|Jorgele58223310|2022-07-05 23:56:24+00:00|0|Twitter Web App|"@ABENEGASLYNCH_h @Willy_Covernton Pero un hombre tan culto como puede ser tan porfiado? les está pasando lo mismo que a los venezolanos cultos que no la vieron y no supieron adelantarse a los acontecimientos y perdieron la nación?
No se dan cuenta que Macri no está a la altura de la gravedad de los hechos???"|male|h covernton hombre tan culto puede ser tan porfiado pasando mismo venezolanos cultos vieron supieron adelantarse acontecimientos perdieron nación dan cuenta macri altura gravedad hechos
113|OigmsdOscar|2022-07-05 23:56:23+00:00|0|Twitter for Android|@BenitoBaranda Benito Baranda siempre tratando de dar una impresión de hombre bueno, todo lo que hacia era para sacar un provecho personal, es un lobo disfrazado de oveja, muy apegado a la religión y apoyando el aborto y robarle el dinero a los ricos para darle a los flojos.|male|benito baranda siempre tratando dar impresión hombre bueno hacia sacar provecho personal lobo disfrazado oveja apegado religión apoyando aborto robarle dinero ricos darle flojos
114|lrendon80|2022-07-05 23:56:17+00:00|0|Twitter for Android|@lopezdoriga Hombre! que difícil y torturante es vivir con el horario de verano o de invierno, ni la delincuencia, ni las desapariciones, ni los asesinatos,  son tan importantes como el horario de verano. https://t.co/w424nkfAtz|male|hombre difícil torturante vivir horario verano invierno delincuencia desapariciones asesinatos tan importantes horario verano
115|EmikoyHabakiri|2022-07-05 23:56:16+00:00|1|Twitter for Android|@AfkRayka Este hombre tiene su trono en respeto https://t.co/wJiKDzJgsh|male|hombre trono respeto
116|MaritaA100|2022-07-05 23:56:16+00:00|0|Twitter for iPhone|@peru21noticias Increíble! Una mafiosa de la calaña de la Chirinos denunciando a un hombre decente|male|increíble mafiosa calaña chirinos denunciando hombre decente
117|Lasanta04|2022-07-05 23:56:14+00:00|0|Twitter for iPhone|🎧 Hombre No Muere De Pena by Teodoro Reyes on @PandoraMusic https://t.co/0AX1yS0CRS OLLEEEE!!!!! Se solto Teodoro 🤣🤣🤣🤣🕺🏾🕺🏾🕺🏾🕺🏾🕺🏾|male|hombre muere pena by teodoro reyes on olleeee solto teodoro
118|marigloj62|2022-07-05 23:56:12+00:00|0|Twitter for Android|@DianaVeintimil2 Que asco de hombre|male|asco hombre
119|jeannettecud|2022-07-05 23:56:08+00:00|39|Twitter for iPhone|@AlejoMunante @CoDescentraliza Así es!! Si queremos luchar por igualdad debemos considerar que no existe un ministerio del hombre, por tanto el mal llamado ministerio de la mujer es inviable!!|male|así si queremos luchar igualdad debemos considerar existe ministerio hombre mal llamado ministerio mujer inviable
